TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Charlotte Hornets,18,24.3,21.4,0.86,20.9,8.3,19.1,43.6,49,6.6,16.2,5.9,1.6,39.1,41.4
Atlanta Hawks,19,23.7,20.1,1.01,23.9,8.4,18.1,46.5,54.8,10.7,14.2,7.8,1.3,44.9,93.1
Chicago Bulls,21,21.7,19.8,0.9,19.4,7.4,16.8,43.9,47.7,10.5,13.6,9.9,1.8,42.6,55.2
Cleveland Cavaliers,20,21.9,19.7,0.9,19.6,7.5,16.9,44.4,48.8,9.6,14.4,8.9,1.4,41.9,51.7
New York Knicks,19,21.7,19.4,0.96,20.8,7.7,17.5,44.3,50.2,10.7,11.7,10,2.9,43.4,82.8
Portland Trail Blazers,19,21.7,19.2,0.77,16.7,6.3,16.8,37.6,41.5,7.7,16.2,6.1,1.2,35.6,13.8
Detroit Pistons,20,21.6,19,0.83,18,7,16.6,42,44.9,9.3,16.7,8.6,2.5,38.7,31
Houston Rockets,17,20.6,19,0.89,18.3,6.8,16.5,40.9,47.5,8.6,13.4,6.9,2.3,38.9,48.3
Brooklyn Nets,19,21.1,18.9,0.92,19.4,7.5,16.4,45.8,49.8,11.2,14.7,11,3.7,42.9,65.5
Indiana Pacers,18,20.8,18,1.04,21.6,8.7,17.5,49.8,56,8,11.2,7.7,3.2,46.1,96.6
Oklahoma City Thunder,19,19.9,18,0.94,18.7,7.7,15.7,48.8,50.3,9.3,13.8,7.4,2.1,45.8,72.4
Los Angeles Lakers,21,19.7,17.8,0.86,17,6.3,14.1,44.9,48.1,12.6,17.9,10.4,2.2,42.1,44.8
Orlando Magic,20,19.3,17,0.77,14.9,5.6,13.8,40.2,42,13.2,18.7,12.5,3.6,37.9,17.2
Milwaukee Bucks,20,19,16.9,1.07,20.3,7.1,14.7,48.3,55.6,13.7,12.1,12.1,3.4,47.5,100
Dallas Mavericks,19,18.7,16.6,0.95,17.8,7,14.8,47.2,52.1,10.4,13.5,9.3,3.1,43.5,79.3
Washington Wizards,19,18.4,16.3,0.91,16.7,6.4,14.8,42.9,47.2,10.6,11.7,10.3,2.9,42,58.6
Boston Celtics,19,17.3,15.6,0.73,12.6,4.5,12.5,36.1,41.4,7.3,20.7,6.4,0.6,32.6,3.4
LA Clippers,19,17.1,15.4,0.97,16.5,5.9,12.8,46.5,54.3,9.6,16.7,8.3,1.2,42.9,86.2
Miami Heat,20,16.5,15.2,0.86,14.1,5.1,13.1,38.7,42.5,10.9,11.9,9.1,2.1,39.5,37.9
Minnesota Timberwolves,19,16.4,14.9,0.85,13.9,4.9,12.1,40.9,45.2,10.9,17,9.3,1.9,39.2,34.5
New Orleans Pelicans,21,16.6,14.8,0.92,15.2,6,12.7,46.8,48.5,12.9,12.6,11.2,2.3,45.4,62.1
Philadelphia 76ers,19,16.6,14.7,0.95,15.8,5.7,13.3,42.7,49.6,11.4,12.3,10.4,3.8,41.5,75.9
