TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Houston Rockets,17,10,9.2,1.1,11,4.5,8.4,53.1,57,10.6,7.6,9.4,2.4,52.4,44.8
Chicago Bulls,21,8.2,7.5,0.99,8.1,3.5,7,49.3,53,7,8.7,7,1.7,47.1,6.9
Los Angeles Lakers,21,7.7,7,1.13,8.7,3.4,6,56.3,58.3,15.4,10.5,14.2,3.7,55.6,55.2
Philadelphia 76ers,19,7.9,7,1.17,9.3,3.4,6.5,52,59.3,13.2,8.6,11.3,3.3,52.3,62.1
Indiana Pacers,18,7.6,6.5,1.35,10.2,3.7,6.4,57.4,69.1,13.2,5.9,13.2,3.7,57.4,96.6
Oklahoma City Thunder,19,7.2,6.5,1.21,8.7,3,6.3,47.5,59.6,10.3,3.7,10.3,2.2,50,72.4
Milwaukee Bucks,20,7.3,6.5,1.01,7.4,2.8,6.2,44.7,50.4,11,6.2,9.6,1.4,46.6,17.2
Memphis Grizzlies,19,7.3,6.5,0.89,6.5,2.7,6.6,40.8,42.8,10.1,3.6,10.1,3.6,42.4,0
Cleveland Cavaliers,20,7.1,6.4,1.09,7.8,3.2,5.8,55.2,59.1,10.6,10.6,10.6,2.8,52.8,41.4
Minnesota Timberwolves,19,6.8,6.2,1.23,8.4,3.1,5.5,55.8,62.5,19.2,6.9,16.9,6.2,56.9,75.9
Charlotte Hornets,18,7.1,6.2,1.2,8.4,3.2,5.7,55.9,60.3,14.2,7.1,14.2,1.6,57.5,69
San Antonio Spurs,19,7.1,6.2,1.01,7.2,3.1,6.4,47.9,53.3,4.4,7.4,4.4,1.5,45.9,20.7
