TEAM,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,% LOOSE BALLS RECOVERED OFF,% LOOSE BALLS RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,CONTESTED SHOTS
Golden State Warriors,48.4,11.9,28,14.4,3.3,2.9,6.2,53,47,1.13,30,18.4,48.3
Atlanta Hawks,48.2,10.6,25.1,16.6,2.2,2.5,4.7,46.9,53.1,0.83,26.4,17.5,43.9
Cleveland Cavaliers,48.2,10.2,23.4,14.4,2.4,2.4,4.8,50.4,49.6,0.36,28.7,16.4,45
Dallas Mavericks,48,10.1,22.9,12.5,3.7,2.9,6.6,56.3,43.7,1.04,29.7,17.5,47.2
Washington Wizards,48,10.1,23,13.7,1.8,2.9,4.6,37.8,62.2,0.38,27.2,16,43.2
Charlotte Hornets,48.2,10,22.7,12.9,3.1,2.6,5.7,54.2,45.8,0.57,29.1,19.8,48.9
Denver Nuggets,48,9.8,22.5,15.4,2.1,2.8,4.9,43,57,0.19,28.6,15.6,44.1
Milwaukee Bucks,48.4,9.8,21.2,15.5,2.8,2.4,5.2,53.1,46.9,0.2,30.4,15.5,46
Sacramento Kings,48.4,9.7,23.2,14.2,2.4,2.9,5.3,44.6,55.4,0.3,29.9,15.6,45.5
Los Angeles Lakers,48.4,9.6,20.9,15.4,2.7,3,5.7,47.7,52.3,0.77,28.1,18,46.1
New York Knicks,48,9.5,20.6,13.3,2.8,3.1,6,47.6,52.4,0.83,24.6,19.8,44.3
Detroit Pistons,48,9.1,19.1,11,3.6,2.1,5.8,62.7,37.3,0.38,33.8,17.9,51.7
Indiana Pacers,48,9.1,20.1,13.9,3,3,5.9,50,50,0.3,32.2,15,47.2
Phoenix Suns,48.6,9.1,18.8,14.4,3.2,3.3,6.5,49.7,50.3,0.4,30.6,16.3,46.9
Houston Rockets,48.2,9,20.9,13.3,2,1.6,3.5,56.4,43.6,0.36,28.6,18.3,46.9
Brooklyn Nets,48.2,8.9,19.8,13.2,2.5,2.7,5.1,48,52,0.08,25.8,19.5,45.3
Chicago Bulls,48.8,8.8,19,16.1,2.9,2.7,5.6,51.7,48.3,0.77,22.5,22.7,45.2
LA Clippers,48.2,8.8,19.7,16.3,2.3,3.4,5.7,40.9,59.1,0.54,25.6,15.8,41.4
San Antonio Spurs,48.4,8.6,19,13.4,2.4,2.6,5,47.9,52.1,0.5,30.3,17.6,48
Orlando Magic,48,8.3,18.2,15.7,2.6,3.2,5.8,45,55,0.79,25.7,17,42.7
New Orleans Pelicans,48,8.3,18.3,15.3,3,3.2,6.2,47.8,52.2,0.69,24.8,20.7,45.5
Portland Trail Blazers,48.7,8.3,18.5,16.4,3.1,2.6,5.7,54.2,45.8,0.39,24,16.2,40.3
Memphis Grizzlies,48.2,8.3,19.5,15.3,3.3,3,6.4,52.3,47.7,0.71,27.4,19.3,46.7
Philadelphia 76ers,48.2,8,18.4,17,3,3.3,6.3,47,53,0.17,26.2,16,42.2
Utah Jazz,48.6,8,19,13,2.7,2.4,5.1,53.1,46.9,0.36,28.4,18.4,46.9
Miami Heat,48,7.7,17.8,14.3,2.1,2.2,4.2,49.1,50.9,0.92,22.6,15.3,37.9
Minnesota Timberwolves,48.2,7.7,17.6,13.5,2.6,2.5,5.1,50.4,49.6,0.13,29.4,16.3,45.6
Oklahoma City Thunder,48.4,7.3,15.4,16.1,2.2,3.4,5.5,39.4,60.6,0.87,30.6,21,51.6
Toronto Raptors,48.4,7.2,15.8,13.6,2.9,3.4,6.3,45.9,54.1,0.24,27.6,,
,,,,,,,,,,,,,
