PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
T.J. McConnell,IND,12,4.2,57.5,1.18,4.9,2.2,3.4,65.9,65.9,6,12,6,0,60,95.1
Trae Young,ATL,18,13.4,48.8,1.03,13.8,4.5,9.7,46.3,55.1,14.9,14.5,11.2,2.1,46.5,81.5
LaMelo Ball,CHA,15,11.8,46.5,0.98,11.5,4.5,9.3,47.9,55.4,7.9,15.8,6.8,2.8,42.9,72.8
Skylar Mays,POR,14,4.1,46.4,0.83,3.4,1.4,3.6,40,41,6.9,8.6,5.2,1.7,39.7,44
Jalen Brunson,NYK,19,10.4,46.2,0.97,10.1,3.9,9.1,42.8,50,7.1,8.6,6.6,3,41.4,70.7
Cade Cunningham,DET,20,11.8,45.6,0.82,9.7,3.8,8.7,43.1,44.8,9.4,19.1,8.9,2.6,38.7,42.9
Andrew Wiggins,IND,15,4,45.5,0.75,3,1.5,3.5,42.3,42.3,1.7,11.7,1.7,0,38.3,29.7
Darius Garland,CLE,15,9.6,45,0.82,7.9,3.1,6.9,45.2,48.1,9.7,19.4,9,1.4,40.3,41.3
Fred VanVleet,HOU,16,7.5,44.9,0.96,7.2,2.8,6.1,44.9,54.6,5.8,15.8,5.8,3.3,39.2,68.5
Damian Lillard,MIL,18,10.5,44.7,1.08,11.4,3.6,7.9,45.5,54.2,14.8,12.2,12.2,2.6,46.6,87.5
Delon Wright,WAS,8,2.3,43.9,1.06,2.4,0.6,1.6,38.5,38.5,33.3,5.6,27.8,11.1,50,83.7
Tyrese Haliburton,IND,16,9.7,43.7,1.24,12,4.4,8.1,54.6,66.5,9.7,11.6,9,5.2,50.3,97.3
Malcolm Brogdon,POR,14,8.1,42.7,0.78,6.4,2.1,6.8,31.6,36.3,11.4,7.9,8.8,2.6,35.1,36.4
Jalen Green,HOU,17,8.4,42.4,0.8,6.7,2.2,6.5,34.2,40.1,11.2,13.3,7,2.1,35,38.6
Keyonte George,UTA,20,5.3,40.9,0.62,3.3,1.1,3.7,28.8,34.2,8.5,22.6,8.5,0,28.3,16.3
Tyler Herro,MIA,8,9.1,40.3,0.85,7.8,3.3,7.8,41.9,46,4.1,11,2.7,0,39.7,48.9
Chris Paul,GSW,18,3.9,40.2,0.73,2.8,1.1,3.1,35.7,37.5,7.1,14.3,7.1,1.4,34.3,27.7
Austin Reaves,LAL,21,5.5,39.3,0.92,5.1,1.8,3.7,47.4,51.9,13.8,21.6,11.2,2.6,43.1,63
Markelle Fultz,ORL,5,5,39.1,0.96,4.8,2.4,4.6,52.2,52.2,4,8,4,4,48,69
Marcus Sasser,DET,20,3.1,39,0.9,2.8,1.2,2.7,43.4,50,3.2,12.9,3.2,1.6,38.7,57.9
Dennis Schroder,TOR,20,6.2,38.6,0.9,5.6,2.3,4.9,47.4,49,8.1,15.3,6.5,1.6,43.5,57.9
D'Angelo Russell,LAL,21,6.2,38.5,0.97,6,2.2,4.7,47.5,50.5,13.8,13.1,10.8,3.1,46.9,70.1
Tyus Jones,WAS,19,3.9,38.5,1.13,4.5,2.1,3.8,54.2,57.6,2.7,2.7,2.7,1.3,53.3,92.4
James Harden,LAC,14,5.4,38,1.04,5.6,1.6,3.6,45.1,54.9,17.1,17.1,14.5,1.3,44.7,82.6
Derrick Rose,MEM,10,3.8,38,0.87,3.3,1.3,2.7,48.1,50,10.5,18.4,10.5,0,44.7,53.3
Tyrese Maxey,PHI,18,8.8,37.3,0.93,8.2,3.1,7.6,40.4,47.4,8.2,9.4,7.5,3.1,39.6,63.6
Reggie Jackson,DEN,21,4.9,37,0.92,4.5,2,4.1,50,52.3,2.9,13.7,2.9,1,44.1,62
Luka Doncic,DAL,18,10.7,36.5,1.03,10.9,4.3,8,54.2,60.8,10.9,17.7,9.9,3.6,46.4,79.3
Jamal Murray,DEN,8,6.1,36.3,1,6.1,2.3,5.1,43.9,54.9,4.1,12.2,0,0,40.8,76.8
Donovan Mitchell,CLE,15,9.4,36.2,0.96,9.1,3.1,7.5,42,48.7,10.6,10.6,9.9,0.7,43.3,69.6
