Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jayson Tatum,PF,25,BOS,20,731,21.5,0.619,0.44,0.334,2.2,22.6,12.9,18.9,1.5,0.9,13.1,30.3,,1.3,1.3,2.6,0.17,,3.7,1.3,5,1.3
2,Kentavious Caldwell-Pope,SG,30,DEN,21,720,10.6,0.587,0.445,0.225,1.5,5.1,3.3,9.9,2.4,1.1,12.3,13.6,,0.5,0.7,1.2,0.083,,-2.4,0.4,-1.9,0
3,Nikola Vučević,C,33,CHI,21,720,15,0.505,0.239,0.117,7.7,25.8,16.2,15.1,1.3,2.1,10.5,22.3,,0.1,0.8,0.8,0.054,,-1.3,-0.4,-1.7,0.1
4,Max Strus,SF,27,CLE,20,705,12.9,0.576,0.64,0.096,2.2,14.4,8.5,15.9,1.4,1.6,11.4,17.3,,0.6,0.8,1.4,0.099,,-0.2,0.8,0.7,0.5
5,Shaedon Sharpe,SG,20,POR,19,703,11.5,0.53,0.385,0.272,4.4,13.2,8.5,14.5,1.5,1,15.5,22.7,,-0.3,0.7,0.4,0.029,,-2.3,-0.7,-3,-0.2
6,Cade Cunningham,PG,22,DET,20,701,13.1,0.515,0.302,0.212,1.5,10.5,6,33.3,1.2,0.5,16.7,31,,-0.5,0.3,-0.3,-0.017,,-0.6,-2.8,-3.4,-0.3
7,Anthony Davis,C,30,LAL,20,701,25.4,0.613,0.035,0.416,10.9,26.8,19.3,15.2,1.4,7,10.1,25.8,,1.7,1.4,3.2,0.216,,2.8,2,4.8,1.2
8,Coby White,PG,23,CHI,21,697,12.5,0.568,0.573,0.15,1.2,9.8,5.3,19.3,1.4,0.9,12.6,20.1,,0.5,0.3,0.8,0.055,,-0.6,-1,-1.6,0.1
9,Scottie Barnes,SG,22,TOR,20,696,21,0.564,0.326,0.252,7.9,20.6,14,23.9,2.5,3.2,11.7,23.9,,1.1,1.2,2.3,0.158,,3.7,2.5,6.3,1.4
10,Tyrese Maxey,PG,23,PHI,18,691,22,0.596,0.409,0.272,1.9,11.3,6.6,27.5,1.1,1.6,6.4,26.5,,2.4,0.5,2.9,0.199,,6,-0.7,5.3,1.3
11,Pascal Siakam,PF,29,TOR,20,686,16,0.544,0.251,0.316,5,17.9,11.2,22.5,1.1,0.5,12.6,25.9,,0.4,0.7,1.2,0.082,,0.1,-0.2,-0.2,0.3
