PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kevin Huerter,SAC,17,3.4,28.3,1.14,3.9,1.4,3.2,42.6,58.3,3.4,3.4,3.4,0,43.1,76.1
Keegan Murray,SAC,14,2.9,20.1,0.65,1.9,0.7,2.6,27.8,36.1,0,10,0,0,25,15
Seth Curry,DAL,15,0.7,17.2,1.36,1,0.4,0.7,54.5,63.6,9.1,0,9.1,9.1,54.5,91.2
Kentavious Caldwell-Pope,DEN,21,1.7,16.1,1.19,2,0.9,1.5,59.4,64.1,2.8,8.3,0,0,55.6,80.5
Julian Strawther,DEN,18,0.8,14.6,1.5,1.2,0.4,0.6,63.6,72.7,21.4,0,14.3,0,71.4,96.4
Devin Vassell,SAS,14,2.3,14.3,0.91,2.1,0.8,1.9,40.7,46.3,6.3,9.4,6.3,0,40.6,37.2
Duncan Robinson,MIA,18,1.7,13.8,1.13,1.9,0.7,1.7,43.3,58.3,0,3.2,0,0,41.9,74.3
Desmond Bane,MEM,19,3.2,13.6,0.97,3.1,1,2.3,43.2,53.4,10,18.3,10,1.7,40,45.1
Tyrese Maxey,PHI,18,3.2,13.4,1.3,4.1,1.3,2.6,52.2,64.1,14,7,14,1.8,54.4,88.5
Kelly Oubre Jr.,PHI,8,1.9,13.4,1,1.9,0.6,1.4,45.5,50,13.3,13.3,6.7,0,46.7,50.5
Jamal Murray,DEN,8,2.3,13.3,1,2.3,0.9,1.6,53.8,57.7,5.6,22.2,0,0,44.4,50.5
