LINEUPS,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPS,FT,OFFTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST
P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,3,16.4,57.5,42.5,41.7,8.3,40,13.3,18.3,13.3,33.3,52,48,93.8,6.3,68.3,31.7
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,7,13.8,56.4,43.6,42,6.3,37.8,14.3,20.3,9.4,35.7,58.3,41.7,86.1,13.9,68.8,31.3
T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,PHI,7,13.1,63.6,36.4,55.7,4.3,23.5,18.3,20.9,15.2,51.3,53.1,46.9,94.4,5.6,62.2,37.8
T. Harris - R. Covington - J. Embiid - D. Melton - T. Maxey,PHI,7,9.7,68.8,31.2,52.4,4.9,29.3,20.1,18.3,5.5,47.6,60.5,39.5,87.5,12.5,67.8,32.2
T. Harris - R. Covington - T. Maxey - P. Reed - J. Springer,PHI,1,8.1,61.5,38.5,52.2,0,39.1,17.4,8.7,17.4,52.2,33.3,66.7,66.7,33.3,44.4,55.6
P. Beverley - M. Morris Sr. - T. Harris - D. Melton - P. Reed,PHI,2,7.5,72.4,27.6,68.4,5.3,23.7,10.5,7.9,15.8,63.2,23.1,76.9,66.7,33.3,31.3,68.8
P. Beverley - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,3,7.2,56.4,43.6,63.6,22.7,20.5,9.1,15.9,15.9,40.9,50,50,100,0,58.8,41.2
P. Beverley - T. Harris - F. Korkmaz - T. Maxey - P. Reed,PHI,1,7,69.2,30.8,50,0,25,0,25,16.7,50,33.3,66.7,100,0,50,50
N. Batum - P. Beverley - M. Morris Sr. - T. Maxey - P. Reed,PHI,2,6.5,48.3,51.7,37.2,0,55.8,9.3,7,14,37.2,37.5,62.5,100,0,68.8,31.3
T. Harris - D. House Jr. - T. Maxey - P. Reed - J. Springer,PHI,2,5.9,56.5,43.5,35.3,11.8,52.9,0,11.8,11.8,23.5,33.3,66.7,33.3,66.7,33.3,66.7
N. Batum - M. Morris Sr. - T. Harris - D. Melton - T. Maxey,PHI,3,5.8,55.9,44.1,52.6,10.5,39.5,0,7.9,5.3,42.1,30,70,100,0,53.3,46.7
P. Beverley - M. Morris Sr. - R. Covington - T. Maxey - P. Reed,PHI,2,5.3,57.9,42.1,34.5,6.9,51.7,6.9,13.8,6.9,27.6,40,60,100,0,70,30
P. Beverley - M. Morris Sr. - J. Embiid - D. House Jr. - D. Melton,PHI,1,5.2,62.5,37.5,42.1,10.5,15.8,10.5,42.1,0,31.6,50,50,100,0,60,40
F. Korkmaz - D. House Jr. - M. Bamba - K. Martin - J. Springer,PHI,2,4.8,50,50,37.5,0,18.8,18.8,43.8,50,37.5,100,0,100,0,100,0
T. Harris - R. Covington - D. House Jr. - T. Maxey - P. Reed,PHI,1,4.8,80,20,58.8,0,35.3,11.8,5.9,11.8,58.8,40,60,0,100,28.6,71.4
P. Beverley - T. Harris - R. Covington - F. Korkmaz - M. Bamba,PHI,1,4.7,25,75,0,0,85.7,14.3,14.3,0,0,0,0,100,0,100,0
P. Beverley - M. Morris Sr. - R. Covington - J. Embiid - T. Maxey,PHI,2,4.5,53.8,46.2,50,16.7,0,0,50,0,33.3,66.7,33.3,0,0,66.7,33.3
P. Beverley - T. Harris - D. House Jr. - T. Maxey - P. Reed,PHI,3,4.4,80.8,19.2,74.3,0,17.1,17.1,8.6,8.6,74.3,23.1,76.9,50,50,26.7,73.3
P. Beverley - T. Harris - R. Covington - M. Bamba - D. Melton,PHI,1,4.3,62.5,37.5,22.2,0,33.3,0,44.4,33.3,22.2,0,100,100,0,50,50
P. Beverley - T. Harris - K. Oubre Jr. - T. Maxey - P. Reed,PHI,3,4.1,75,25,52.2,17.4,0,17.4,47.8,8.7,34.8,33.3,66.7,0,0,33.3,66.7
T. Harris - R. Covington - K. Oubre Jr. - T. Maxey - P. Reed,PHI,2,4.1,66.7,33.3,50,0,37.5,16.7,12.5,33.3,50,50,50,33.3,66.7,44.4,55.6
N. Batum - T. Harris - T. Maxey - P. Reed - J. Springer,PHI,3,4,70.8,29.2,52.9,5.9,35.3,5.9,11.8,17.6,47.1,66.7,33.3,75,25,69.2,30.8
T. Harris - D. House Jr. - D. Melton - P. Reed - J. Springer,PHI,1,3.9,42.9,57.1,46.2,15.4,46.2,0,7.7,0,30.8,66.7,33.3,100,0,80,20
P. Beverley - J. Embiid - D. House Jr. - T. Maxey - J. Springer,PHI,1,3.8,75,25,57.1,0,21.4,14.3,21.4,14.3,57.1,75,25,100,0,80,20
P. Beverley - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,4,3.8,79.4,20.6,64.9,5.4,24.3,10.8,10.8,10.8,59.5,41.7,58.3,0,100,33.3,66.7
