Season,SHOT TYPE DETAIL,FGM,FGA,FG%,3:00 PM,3PA,3P%,EFG%,BLKA,"FGM
%AST","FGM
%UAST"
2020-21,Driving Floating Jump Shot,36,78,46.2,0,0,0,46.2,3,44.4,55.6
2020-21,Driving Layup Shot,34,75,45.3,0,0,0,45.3,14,32.4,67.6
2020-21,Pullup Jump shot,32,80,40,6,22,27.3,43.8,0,40.6,59.4
2020-21,Jump Shot,22,74,29.7,20,66,30.3,43.2,0,90.9,9.1
2020-21,Driving Finger Roll Layup Shot,18,26,69.2,0,0,0,69.2,3,16.7,83.3
2020-21,Driving Floating Bank Jump Shot,7,13,53.8,0,0,0,53.8,1,42.9,57.1
2020-21,Running Layup Shot,7,13,53.8,0,0,0,53.8,2,42.9,57.1
2020-21,Floating Jump shot,6,11,54.5,0,0,0,54.5,1,16.7,83.3
2020-21,Running Dunk Shot,6,6,100,0,0,0,100,0,50,50
2020-21,Running Pull-Up Jump Shot,4,6,66.7,3,5,60,91.7,0,75,25
2020-21,Driving Reverse Layup Shot,3,8,37.5,0,0,0,37.5,0,33.3,66.7
2020-21,Fadeaway Jump Shot,3,4,75,0,1,0,75,0,0,100
2020-21,Running Finger Roll Layup Shot,3,6,50,0,0,0,50,0,66.7,33.3
2020-21,Driving Dunk Shot,2,2,100,0,0,0,100,0,100,0
2020-21,Running Reverse Layup Shot,2,2,100,0,0,0,100,0,50,50
2020-21,Step Back Jump shot,2,8,25,1,6,16.7,31.3,0,0,100
2020-21,Turnaround Jump Shot,2,2,100,0,0,0,100,0,100,0
2020-21,Cutting Layup Shot,1,1,100,0,0,0,100,0,100,0
2020-21,Driving Hook Shot,1,1,100,0,0,0,100,0,100,0
2020-21,Jump Bank Shot,1,1,100,0,0,0,100,0,100,0
2020-21,Layup Shot,1,2,50,0,0,0,50,0,0,100
2020-21,Running Alley Oop Layup Shot,1,1,100,0,0,0,100,0,100,0
2020-21,Running Jump Shot,1,3,33.3,1,3,33.3,50,0,100,0
2020-21,Tip Layup Shot,1,2,50,0,0,0,50,0,0,100
2020-21,Turnaround Fadeaway shot,1,1,100,0,0,0,100,0,0,100
2020-21,Turnaround Hook Shot,1,1,100,0,0,0,100,0,0,100
2020-21,Alley Oop Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Alley Oop Layup shot,0,0,0,0,0,0,0,0,0,0
2020-21,Cutting Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Cutting Finger Roll Layup Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Driving Bank Hook Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Driving Reverse Dunk Shot,0,1,0,0,0,0,0,0,0,0
2020-21,Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Finger Roll Layup Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Hook Bank Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Hook Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Putback Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Putback Layup Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Reverse Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Reverse Layup Shot,0,1,0,0,0,0,0,1,0,0
2020-21,Running Alley Oop Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Tip Dunk Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Turnaround Bank Hook Shot,0,0,0,0,0,0,0,0,0,0
2020-21,Turnaround Fadeaway Bank Jump Shot,0,0,0,0,0,0,0,0,0,0
2021-22,Jump Shot,74,181,40.9,71,175,40.6,60.5,3,93.2,6.8
2021-22,Pullup Jump shot,74,177,41.8,33,72,45.8,51.1,0,43.2,56.8
2021-22,Driving Floating Jump Shot,69,145,47.6,0,0,0,47.6,1,46.4,53.6
2021-22,Driving Finger Roll Layup Shot,59,103,57.3,0,0,0,57.3,9,42.4,57.6
2021-22,Driving Layup Shot,54,112,48.2,0,0,0,48.2,25,35.2,64.8
