Year,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ%","TOV
FREQ%","SF
FREQ%","AND ONE
FREQ%","SCORE
FREQ%",PERCENTILE
2023-24,Oklahoma City Thunder,22,22.8,20.6,1.19,27.2,10,18.3,54.6,62.3,11.6,10,10.2,1.8,53.6,89.7
2023-24,Toronto Raptors,24,21.5,19,1.14,24.6,9.1,16.6,54.9,61.3,16.4,12,15.1,5.6,52.4,69
2023-24,Indiana Pacers,21,23,19.7,1.18,27.1,10.1,18.5,54.5,63.2,11.8,11,11.2,3.1,52.3,82.8
2023-24,Washington Wizards,23,20.7,18.4,1.19,24.7,9.5,16.3,58.1,64.7,13,12.2,12.2,4,54.8,93.1
2023-24,Atlanta Hawks,23,21.8,18.5,1.12,24.3,8.9,17.5,51,57.5,13.2,9.4,12.6,2.8,50.7,48.3
2023-24,Los Angeles Lakers,24,20.4,18.4,1.11,22.6,8.4,15.2,55.2,62.6,13.3,14.9,12.1,2.7,50.9,44.8
2023-24,Utah Jazz,24,20.3,17.4,1.1,22.3,8.3,15.8,52.6,60.4,11.1,13.8,10.1,2.9,48.9,37.9
2023-24,Dallas Mavericks,23,18.8,16.7,1.23,23.1,8.6,15.3,56,65.2,12.7,9,11.6,3.2,54.6,100
2023-24,Detroit Pistons,24,19.6,17.4,1.09,21.3,8,15.1,53,59.4,12.8,13.4,11.9,3.2,50.2,27.6
2023-24,New York Knicks,22,19.2,17.2,1.19,23,8.2,15.4,53.4,62.4,14.4,8.5,13.2,3.1,53.4,96.6
2023-24,Cleveland Cavaliers,24,19.1,17.2,1.1,21,7.8,14.6,53.4,60.9,12.4,14.4,11.4,3.3,49.3,41.4
2023-24,San Antonio Spurs,23,20.6,17.9,1.07,21.9,8.4,16.4,51.3,59.7,9.9,13.3,9.1,3.2,46.9,20.7
2023-24,Philadelphia 76ers,23,18.4,16.2,1.19,21.9,7.6,14.2,53.4,59,18.7,9,17,4.7,55.1,86.2
2023-24,Sacramento Kings,21,21.6,19.1,1.09,23.6,8.9,17.8,49.9,57.4,10.8,8.8,10.2,2,49.4,31
2023-24,Milwaukee Bucks,23,18.4,16.3,1.16,21.4,7.6,14.1,53.5,61.4,17.5,10.6,15.8,4.7,52.6,78.6
2023-24,New Orleans Pelicans,24,17.7,15.7,1.16,20.5,7.7,14,54.8,61.6,13.7,10.4,12.7,3.3,53.3,78.6
2023-24,Brooklyn Nets,23,18.6,16.6,1.14,21.2,8.3,15.6,52.9,61.3,8.2,10.3,8.2,2.3,49.8,65.5
2023-24,LA Clippers,23,20.4,18.5,1.04,21.2,8,16.2,49.5,55,12.3,11.9,11.5,3.4,47.2,6.9
2023-24,Boston Celtics,21,19.7,17.8,1.13,22.2,8.3,16.2,51.5,60,11.1,9.2,9.4,2.4,50.7,58.6
2023-24,Memphis Grizzlies,23,18.8,16.9,1.05,19.7,7,14.7,47.8,56.2,11.6,12.3,11.1,2.3,46.5,13.8
2023-24,Orlando Magic,23,18.2,16.2,1.08,19.6,7.4,14.2,52.1,57.1,15,11.2,13.4,4.1,50.6,24.1
2023-24,Charlotte Hornets,22,18.1,16.2,1.1,19.9,7.7,14.3,53.8,59.9,10.8,12.8,10.5,2.3,50.6,34.5
2023-24,Minnesota Timberwolves,22,17.1,15.5,1.15,19.7,7.1,13,54.5,60.8,15.4,11.2,13.6,2.7,53.2,72.4
2023-24,Phoenix Suns,23,16.6,14.9,1.14,18.8,6.5,12.2,53.4,59.4,18.6,11.8,16.3,4.2,52.8,62.1
2023-24,Denver Nuggets,25,17,15.5,1.01,17.3,6.4,13.2,48.6,55.8,12.2,12.4,10.6,1.9,46.2,0
2023-24,Miami Heat,24,17,15.7,1.04,17.8,6.4,13.5,47.7,55.1,11.8,11.5,11.3,2.5,47.1,10.3
2023-24,Chicago Bulls,25,15.1,13.6,1.13,17,6.1,12.1,50.3,56.6,14.9,7.7,13.5,2.7,52,55.2
2023-24,Houston Rockets,21,17.8,16.2,1.12,19.9,7,13.6,51.9,58.8,15,11.8,13.7,3.2,50.9,51.7
2023-24,Portland Trail Blazers,22,17.2,15.1,1.03,17.7,6.4,12.7,50.4,57.1,14.3,14.6,13.5,2.9,47.6,3.4
2023-24,Golden State Warriors,23,14.7,12.6,1.06,15.6,5.5,10.7,51.6,57.7,17.5,13.9,15.7,4.5,49.3,17.2
2022-23,Indiana Pacers,82,22.9,20.2,1.18,27,9.8,18,54.2,63.1,13,11.2,12.4,3,52.4,89.7
2022-23,Memphis Grizzlies,82,22.7,19.8,1.14,25.8,9.7,18.4,52.8,61,11.5,10.6,10.6,3.2,50.5,51.7
2022-23,Sacramento Kings,82,22.7,20.3,1.1,25.1,9.1,17.7,51.4,58.6,13.7,11.5,12.7,3.4,49.8,17.2
2022-23,Oklahoma City Thunder,82,21.8,19,1.14,25,9.1,17.1,53.2,59.4,14.9,10.3,13.9,3.3,52.8,58.6
2022-23,Toronto Raptors,82,21,18.6,1.14,23.8,8.8,16.3,53.7,59.5,15.2,10.5,14,3.4,53,48.3
2022-23,Los Angeles Lakers,82,21,18.4,1.13,23.7,8.8,15.7,56.2,61.6,15.4,12.8,13.8,3.4,53.4,41.4
2022-23,Denver Nuggets,82,19.4,17.7,1.21,23.4,8.9,15.2,58.1,66.2,12.3,11.9,11,2.9,54.8,96.6
2022-23,Minnesota Timberwolves,82,20.1,17.9,1.16,23.2,8.7,15.6,55.9,62.4,13.8,12.6,13.1,4.4,52.6,75.9
2022-23,Milwaukee Bucks,82,20,17.6,1.12,22.5,7.8,15.5,50.3,59.9,15.5,10.8,14.4,3.7,49.4,31
2022-23,Boston Celtics,82,19,17.2,1.18,22.4,8.3,14.8,55.9,63.4,13.2,11.9,12.7,3,53.3,86.2
2022-23,Charlotte Hornets,82,20.1,17.7,1.09,22,8.2,15.8,52,57.4,14.4,10.7,13.1,3.6,50.9,6.9
2022-23,Atlanta Hawks,82,18.7,16.3,1.16,21.7,8.1,14.9,54.8,61.2,13.6,10.2,12.1,3.3,53.1,79.3
2022-23,Orlando Magic,82,19.2,17.2,1.12,21.4,7.7,14.7,52.3,58.7,15.5,11.5,14.1,4.1,51,24.1
2022-23,Brooklyn Nets,82,19,17.7,1.13,21.3,7.7,14.8,51.8,60.6,13.1,11.3,12,2.9,50.1,34.5
2022-23,New York Knicks,82,18.5,16.5,1.15,21.2,7.7,14.3,54.2,60.9,15.3,10.8,14.4,3.4,52.9,62.1
2022-23,New Orleans Pelicans,82,18.8,16.8,1.13,21.2,7.9,14.6,54.2,61,12.5,12.3,11.1,2.9,51.5,44.8
2022-23,Golden State Warriors,82,19,16.6,1.12,21.2,7.9,14.7,53.6,62.1,10.5,14.4,9.6,2.4,49.4,27.6
2022-23,LA Clippers,82,18.4,16.8,1.13,20.8,7.5,14,53.7,62.1,14.2,12.5,12.8,2.8,51.2,37.9
2022-23,Utah Jazz,82,18.9,16.5,1.1,20.7,7.7,14.7,52.6,59.8,12.1,12.9,11.1,3,49.4,13.8
2022-23,Chicago Bulls,82,17.5,16.1,1.16,20.3,7.5,13.5,55.2,61,14.8,10.5,14.2,2.8,54.2,82.8
2022-23,San Antonio Spurs,82,18.9,16.2,1.07,20.2,7.7,14.8,51.6,58.4,12.2,12.7,11.3,3.6,48.5,0
2022-23,Detroit Pistons,82,17.7,15.7,1.14,20.1,7.2,13,55.6,62.8,15.8,12.8,14.3,2.4,53.4,55.2
2022-23,Philadelphia 76ers,82,16.4,15.4,1.21,19.9,7.3,12.8,56.9,64.3,15.3,11.4,14.6,4.6,54.5,100
2022-23,Cleveland Cavaliers,82,16.6,15.5,1.18,19.6,7.6,13.1,58,63.6,13.3,11.1,12,3.3,54.8,93.1
2022-23,Washington Wizards,82,16.7,15.2,1.15,19.2,7.3,13.2,55.1,62.3,11.9,11,10.9,2.3,52.7,72.4
2022-23,Portland Trail Blazers,82,16.5,15.1,1.15,19,7,12.5,56.1,61.9,15.4,12.4,14.7,4,53.4,65.5
2022-23,Miami Heat,82,15.7,14.6,1.15,18.1,6.5,12.1,54.1,60.9,14.3,11.7,13.5,3.3,52.3,69
2022-23,Houston Rockets,82,16.9,14.7,1.07,18.1,7,12.9,54.5,58.5,13.6,13.2,12.8,3.5,50.9,3.4
2022-23,Dallas Mavericks,82,15.9,14.9,1.11,17.7,6.4,12.7,50,58.2,13.2,9.4,12.8,3.1,49.2,20.7
2022-23,Phoenix Suns,82,15.1,13.4,1.1,16.5,5.9,11.9,50.1,58.4,12.4,11.2,10.7,2.4,49.1,10.3
2021-22,Memphis Grizzlies,82,22.3,19.1,1.11,24.8,9.3,17.8,52.3,58.8,13,10.2,11.7,3,50.8,37.9
2021-22,Charlotte Hornets,82,21.3,18.9,1.15,24.5,9.1,17,53.5,61.4,11.9,10.7,10.7,2.5,51.8,62.1
2021-22,Milwaukee Bucks,82,21.3,19,1.14,24.1,8.4,16.3,51.6,60.7,15.1,11.2,13.6,3.1,50.6,58.6
2021-22,Los Angeles Lakers,82,20.9,18.6,1.13,23.5,8.6,15.8,54.4,62.3,13.7,13.4,12.2,3,51.1,51.7
2021-22,Toronto Raptors,82,20.6,18.4,1.09,22.5,8.4,15.8,53.1,59,13.9,12.6,12.8,3.3,50.6,20.7
2021-22,New Orleans Pelicans,82,18.5,16.7,1.17,21.7,8,14.5,54.9,61.6,15.4,10.3,14.1,4,53.6,89.7
2021-22,Minnesota Timberwolves,82,19.4,17,1.11,21.5,7.9,15.2,52,59.6,12.9,12.1,11.8,3.4,49.7,34.5
2021-22,Phoenix Suns,82,17.3,15.6,1.16,20,7.4,14.1,52.6,60.5,11.6,10,10.6,3.2,51.1,79.3
2021-22,Denver Nuggets,82,17.3,15.9,1.15,20,7.4,13.2,55.7,63.2,13.4,13.1,11.8,3,52.1,72.4
