0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Maxey-Melton-Batum-Harris-Embiid,95,1.38,1.16,54,6,1,85
2,Maxey-Melton-OubreJr.-Harris-Embiid,89,1.17,1.26,-12,3,4,42
3,Maxey-Melton-Covington-Harris-Embiid,66,1.19,1.31,-13,4,3,57
4,Maxey-Melton-Harris-Tucker-Embiid,48,1.19,.95,25,2,1,66
5,Maxey-Melton-Beverley-Harris-Embiid,21,1.13,1.24,-8,1,1,50
6,Maxey-Melton-Batum-Harris-MorrisSr.,17,1.06,1.67,-22,0,3,0
7,Maxey-Beverley-OubreJr.-Harris-Embiid,14,1.23,1.07,6,2,1,66
8,Maxey-Melton-Covington-Harris-Reed,14,1.20,1.10,2,1,3,25
9,Maxey-Beverley-HouseJr.-Harris-Reed,13,1.21,1.08,7,2,1,66
10,Maxey-Beverley-Batum-MorrisSr.-Reed,12,1.72,.75,25,2,0,100
11,Maxey-Beverley-OubreJr.-Harris-Reed,12,.88,.81,2,2,1,66
12,Maxey-Springer-HouseJr.-Harris-Reed,11,.74,1.22,-11,0,1,0
13,Maxey-Springer-Batum-Harris-Reed,11,1.36,1.24,3,2,1,66
14,Maxey-Melton-Springer-Harris-Embiid,11,1.25,1.24,-1,1,2,33
15,Maxey-Beverley-Covington-MorrisSr.-Reed,10,1.45,1.53,0,1,1,50
16,Maxey-Beverley-Covington-MorrisSr.-Embiid,8,.63,1.18,-8,0,1,0
17,Maxey-Melton-Batum-Harris-Reed,8,1.33,1.18,4,1,2,33
18,Maxey-OubreJr.-Covington-Harris-Reed,8,1.33,.82,10,2,0,100
19,Maxey-Springer-Covington-Harris-Reed,8,1.53,.94,8,1,0,100
20,Maxey-OubreJr.-Harris-Tucker-Embiid,7,1.19,1.24,-2,1,1,50
