,PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
2023-24,Tyrese Maxey,PHI,22,16,6,37.5,15470.2,2.93,1.69,1.24,4.29,4.79,3.75
2023-24,Terry Rozier,CHA,13,4,9,37,15229.9,2.88,1.56,1.32,4.34,4.74,3.95
2023-24,Max Strus,CLE,24,13,11,34.7,14811.6,2.81,1.56,1.25,4.51,5.07,3.96
2023-24,Shaedon Sharpe,POR,21,6,15,37,14740.7,2.79,1.51,1.29,4.19,4.5,3.88
2023-24,Fred VanVleet,HOU,20,12,8,38,14561,2.76,1.57,1.19,4.01,4.5,3.5
2023-24,Anfernee Simons,POR,4,0,4,34.6,14511.8,2.75,1.58,1.17,4.25,4.79,3.69
2023-24,De'Aaron Fox,SAC,17,11,6,35.6,14503.1,2.75,1.48,1.27,4.29,4.78,3.83
2023-24,Jalen Brunson,NYK,23,13,10,35.6,14451.2,2.74,1.59,1.14,4.26,4.66,3.8
2023-24,Miles Bridges,CHA,12,4,8,36.4,14460.7,2.74,1.48,1.26,4.22,4.6,3.82
2023-24,Mikal Bridges,BKN,23,13,10,35,14303.6,2.71,1.51,1.2,4.31,4.71,3.88
2023-24,Scottie Barnes,TOR,23,9,14,34.7,14242.8,2.7,1.43,1.27,4.29,4.63,3.98
2023-24,Tyler Herro,MIA,8,4,4,34,14224.6,2.69,1.49,1.2,4.35,4.75,3.88
2023-24,Tyrese Haliburton,IND,20,12,8,34.1,14178.2,2.69,1.52,1.16,4.33,5,3.69
2023-24,Jalen Williams,OKC,18,12,6,32.8,14164.1,2.68,1.49,1.19,4.5,5.1,3.93
2023-24,Dejounte Murray,ATL,22,8,14,34.4,14102.2,2.67,1.44,1.23,4.31,4.74,3.9
2023-24,Desmond Bane,MEM,22,6,16,34.4,14090.7,2.67,1.49,1.18,4.27,4.78,3.78
2023-24,Franz Wagner,ORL,22,16,6,33.3,14110.2,2.67,1.49,1.18,4.43,4.89,3.96
2023-24,LaMelo Ball,CHA,15,5,10,33.4,14053.3,2.66,1.46,1.2,4.35,4.9,3.82
2023-24,CJ McCollum,NOP,11,9,2,33.6,13976.6,2.65,1.45,1.2,4.32,4.68,3.96
2023-24,Tobias Harris,PHI,23,16,7,34.5,13989,2.65,1.45,1.2,4.22,4.53,3.92
2023-24,Zach LaVine,CHI,17,5,12,35.6,13991.1,2.65,1.44,1.21,4.13,4.56,3.7
2023-24,Domantas Sabonis,SAC,21,12,9,34.6,13909.2,2.63,1.4,1.24,4.24,4.6,3.9
